level_id,title,maker,difficulty,clear_rate,attempts,clears,likes,tags,completion_rate,difficulty_score,popularity_score,engagement_score,timestamp,data_version
fa6f6c7f-87c6-4b81-80a8-30fc41ed827b,Level 1,Player 1,easy,52.31,127,3,114,"platformer,speedrun",0.848,0.783,0.577,0.433,2024-12-23 13:25:27.290936,1.0
d43d4952-18a1-4022-89bd-1cec30c5a659,Level 2,Player 2,normal,95.2,945,76,125,"puzzle,technical",0.006,0.441,0.567,0.635,2024-12-23 13:25:27.290936,1.0
bde89efb-8929-4127-a446-a9580ec7df45,Level 3,Player 3,hard,59.36,523,74,412,"platformer,speedrun",0.58,0.885,0.387,0.448,2024-12-23 13:25:27.290936,1.0
2781d458-364b-45c3-a2a7-9477a9d5ff12,Level 4,Player 4,expert,23.28,910,44,264,"puzzle,technical",0.399,0.732,0.722,0.666,2024-12-23 13:25:27.290936,1.0
4dbffbf6-5d2a-4d6c-b9e6-38063738d2be,Level 5,Player 5,easy,32.42,255,48,410,"platformer,speedrun",0.373,0.055,0.677,0.458,2024-12-23 13:25:27.290936,1.0
84dd61cd-f713-476b-bfbe-c5689f225dba,Level 6,Player 6,normal,3.62,617,52,144,"puzzle,technical",0.722,0.966,0.054,0.894,2024-12-23 13:25:27.290936,1.0
daa39404-b5ba-4c31-b93c-4afb111c8a50,Level 7,Player 7,hard,56.15,899,58,370,"platformer,speedrun",0.291,0.707,0.118,0.893,2024-12-23 13:25:27.290936,1.0
acc8c4a6-b730-405e-bc89-7a0d32c612f0,Level 8,Player 8,expert,21.81,309,97,24,"puzzle,technical",0.523,0.396,0.588,0.203,2024-12-23 13:25:27.290936,1.0
817a9515-f5af-4d2d-9d8f-160b1bdc4ed6,Level 9,Player 9,easy,90.01,886,43,44,"platformer,speedrun",0.522,0.041,0.358,0.195,2024-12-23 13:25:27.290936,1.0
0e238d8c-5ace-409b-831c-83cb9b9dd806,Level 10,Player 10,normal,82.23,212,36,150,"puzzle,technical",0.772,0.211,0.022,0.739,2024-12-23 13:25:27.290936,1.0
